route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RW",1,892,"Wall St./Pier 11",2109,1,21,7
"RW",1,893,"Wall St./Pier 11",2209,1,22,7
"RW",1,894,"Wall St./Pier 11",2111,1,21,7
"RW",1,895,"Wall St./Pier 11",2211,1,22,7
"RW",1,896,"Wall St./Pier 11",2113,1,21,7
"RW",1,897,"Wall St./Pier 11",2213,1,22,7
"RW",1,898,"Wall St./Pier 11",2115,1,21,7
"RW",1,899,"Wall St./Pier 11",2215,1,22,7
"RW",2,930,"Wall St./Pier 11",2101,1,21,7
"SB",2,961,"Bay Ridge",3201,0,32,106
"SB",2,962,"Bay Ridge",3102,0,31,106
"SB",2,963,"Bay Ridge",3203,0,32,106
"SB",2,964,"Bay Ridge",3301,0,33,106
"SB",2,965,"Bay Ridge",3104,0,31,106
"SB",2,966,"Bay Ridge",3401,0,34,106
"SB",2,967,"Bay Ridge",3205,0,32,106
"SB",2,968,"Bay Ridge",3303,0,33,106
"SB",2,969,"Bay Ridge",3106,0,31,106
"SB",2,970,"Bay Ridge",3403,0,34,106
"SB",2,971,"Bay Ridge",3207,0,32,106
"SB",2,972,"Bay Ridge",3305,0,33,106
"SB",2,973,"Bay Ridge",3108,0,31,106
"SB",2,974,"Bay Ridge",3405,0,34,106
"SB",2,975,"Bay Ridge",3209,0,32,106
"SB",2,976,"Bay Ridge",3307,0,33,106
"SB",2,977,"Bay Ridge",3110,0,31,106
"SB",2,978,"Bay Ridge",3407,0,34,106
"SB",2,979,"Bay Ridge",3211,0,32,106
"SB",2,980,"Bay Ridge",3309,0,33,106
"SB",2,981,"Bay Ridge",3112,0,31,106
"SB",2,982,"Bay Ridge",3409,0,34,106
"SB",2,983,"Bay Ridge",3213,0,32,106
"SB",2,985,"Corlears Hook",3101,1,31,105
"SB",2,986,"Corlears Hook",3202,1,32,105
"SB",2,987,"Corlears Hook",3103,1,31,105
"SB",2,988,"Corlears Hook",3204,1,32,105
"SB",2,989,"Corlears Hook",3302,1,33,105
"SB",2,990,"Corlears Hook",3105,1,31,105
"SB",2,991,"Corlears Hook",3402,1,34,105
"SB",2,992,"Corlears Hook",3206,1,32,105
"SB",2,993,"Corlears Hook",3304,1,33,105
"SB",2,994,"Corlears Hook",3107,1,31,105
"SB",2,995,"Corlears Hook",3404,1,34,105
"SB",2,996,"Corlears Hook",3208,1,32,105
"SB",2,997,"Corlears Hook",3306,1,33,105
"SB",2,998,"Corlears Hook",3109,1,31,105
"SB",2,999,"Corlears Hook",3406,1,34,105
"SB",2,1000,"Corlears Hook",3210,1,32,105
"SB",2,1001,"Corlears Hook",3308,1,33,105
"SB",2,1002,"Corlears Hook",3111,1,31,105
"SB",2,1003,"Corlears Hook",3408,1,34,105
"SB",2,1004,"Corlears Hook",3212,1,32,105
"SB",2,1005,"Corlears Hook",3310,1,33,105
"SB",2,1006,"Corlears Hook",3113,1,31,105
"SB",2,1007,"Corlears Hook",3410,1,34,105
"SB",2,1008,"Corlears Hook",3214,1,32,105
"AS",2,1009,"East 90th St",4201,1,42,107
"AS",2,1010,"East 90th St",4102,1,41,107
"AS",2,1011,"East 90th St",4203,1,42,107
"AS",2,1012,"East 90th St",4301,1,43,107
"AS",2,1013,"East 90th St",4104,1,41,107
"AS",2,1014,"East 90th St",4205,1,42,107
"AS",2,1015,"East 90th St",4303,1,43,107
"AS",2,1016,"East 90th St",4106,1,41,107
"AS",2,1017,"East 90th St",4207,1,42,107
"AS",2,1018,"East 90th St",4305,1,43,107
"AS",2,1019,"East 90th St",4108,1,41,107
"AS",2,1020,"East 90th St",4209,1,42,107
"AS",2,1021,"East 90th St",4307,1,43,107
"AS",2,1022,"East 90th St",4110,1,41,107
"AS",2,1023,"East 90th St",4211,1,42,107
"AS",2,1024,"East 90th St",4309,1,43,107
"AS",2,1025,"East 90th St",4112,1,41,107
"AS",2,1026,"East 90th St",4213,1,42,107
"AS",2,1027,"East 90th St",4311,1,43,107
"AS",2,1028,"East 90th St",4114,1,41,107
"AS",2,1029,"Wall St./Pier 11",4101,0,41,108
"AS",2,1030,"Wall St./Pier 11",4202,0,42,108
"AS",2,1031,"Wall St./Pier 11",4103,0,41,108
"AS",2,1032,"Wall St./Pier 11",4204,0,42,108
"AS",2,1033,"Wall St./Pier 11",4302,0,43,108
